review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
Very good,08-2023,Netherlands,N/A,Group,3,08-2023,8.0,N/A,N/A,False
Very good,08-2022,Netherlands,N/A,Group,1,08-2022,8.0,N/A,N/A,False
Very good,04-2022,South Africa,N/A,Family,3,04-2022,8.0,N/A,N/A,False
Very good,08-2021,Netherlands,N/A,Solo traveller,1,08-2021,8.0,N/A,N/A,False
Exceptional,12-2023,Albania,N/A,Solo traveller,4,12-2023,10,N/A,N/A,False
Passable,08-2022,Indonesia,N/A,Solo traveller,2,08-2022,5.0,N/A,N/A,False
Disappointing,12-2021,Netherlands,N/A,Couple,1,12-2021,4.0,N/A,N/A,False
Exceptional,08-2021,Greece,N/A,Family,6,08-2021,10,N/A,N/A,False
Exceptional,02-2021,Netherlands,N/A,Couple,1,02-2021,10,N/A,N/A,False
Exceptional,02-2021,Indonesia,N/A,Solo traveller,11,02-2021,10,N/A,N/A,False
Superb,12-2023,Netherlands,Deluxe King Room,Couple,1,12-2023,9.0,N/A,N/A,False
Good,12-2023,Netherlands,Deluxe Studio,Solo traveller,1,12-2023,7.0,N/A,N/A,False
Very good,12-2023,Netherlands,Deluxe King Room,Couple,1,12-2023,8.0,N/A,N/A,False
Prima,12-2023,Netherlands,Standard Queen Room,Family,1,12-2023,8.0,N/A,N/A,True
Very good,12-2023,Italy,Deluxe King Room,Family,1,12-2023,8.0,N/A,N/A,False
Very good,12-2023,Netherlands,Standard Queen Room,Couple,1,12-2023,8.0,N/A,N/A,False
Very good,12-2023,Germany,Deluxe King Room,Couple,2,12-2023,8.0,N/A,N/A,False
Superb,12-2023,Netherlands,Standard Queen Room,Family,1,12-2023,9.0,N/A,N/A,False
Very good,12-2023,Netherlands,Standard Queen Room,Solo traveller,1,12-2023,8.0,N/A,N/A,False
"Prettig verblijf geweest, nabij het centrum",12-2023,Netherlands,Standard Queen Room,Couple,1,12-2023,9.0,N/A,N/A,True
Very good,11-2023,Bulgaria,Standard Queen Room,Couple,4,11-2023,8.0,N/A,N/A,False
Superb,11-2023,Netherlands,Deluxe King Room,Solo traveller,1,11-2023,9.0,N/A,N/A,False
Very good,12-2023,Netherlands,Standard Queen Room,Family,1,12-2023,8.0,N/A,N/A,False
Uitstekend,11-2023,Netherlands,Standard Queen Room,Couple,2,11-2023,9.0,N/A,N/A,True
Superb,12-2023,Netherlands,Standard Queen Room,Couple,1,12-2023,9.0,N/A,N/A,False
Zeer goed! Vriendelijk personeel! Alles was top!,11-2023,Belgium,Deluxe King Room,Family,2,11-2023,9.0,N/A,N/A,True
Very good,11-2023,Germany,Standard Queen Room,Group,1,11-2023,8.0,N/A,N/A,False
Very good,11-2023,Germany,Deluxe King Room,Family,2,11-2023,8.0,N/A,N/A,False
Very good,11-2023,Germany,Deluxe King Room,Couple,2,11-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Solo traveller,2,09-2023,8.0,N/A,N/A,False
Very good,11-2023,Netherlands,Deluxe King Room,Group,1,11-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Couple,3,10-2023,8.0,N/A,N/A,False
Very good,11-2023,Netherlands,Deluxe King Room,Solo traveller,1,11-2023,8.0,N/A,N/A,False
Very good,11-2023,Netherlands,Deluxe King Room,Couple,1,11-2023,8.0,N/A,N/A,False
Superb,11-2023,Cyprus,Standard Queen Room,Couple,4,11-2023,9.0,N/A,N/A,False
Superb,09-2023,Germany,Standard Queen Room,Couple,1,09-2023,9.0,N/A,N/A,False
Very good,11-2023,Germany,Deluxe King Room,Family,1,11-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe Studio,Solo traveller,1,10-2023,8.0,N/A,N/A,False
Good,11-2023,Netherlands,Deluxe King Room,Couple,1,11-2023,7.0,N/A,N/A,False
Superb,10-2023,Netherlands,Deluxe King Room,Family,2,10-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,7.0,N/A,N/A,False
Good,11-2023,Netherlands,Standard Queen Room,Group,1,11-2023,7.0,N/A,N/A,False
Superb,10-2023,Belgium,Standard Queen Room,Couple,1,10-2023,9.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Deluxe King Room,Family,4,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Standard Queen Room,Solo traveller,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,9.0,N/A,N/A,False
Good,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Deluxe King Room,Group,2,10-2023,8.0,N/A,N/A,False
Superb,10-2023,Netherlands,Standard Queen Room,Couple,1,10-2023,9.0,N/A,N/A,False
Very good,10-2023,Germany,Standard Queen Room,Family,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Deluxe King Room,Family,2,10-2023,8.0,N/A,N/A,False
Good,09-2023,Netherlands,Deluxe King Room,Family,1,09-2023,7.0,N/A,N/A,False
Good,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,7.0,N/A,N/A,False
Very good,07-2023,Italy,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Good,10-2023,Italy,Standard Queen Room,Solo traveller,1,10-2023,7.0,N/A,N/A,False
Uitstekend hotel met een lekkere vibe,10-2023,Netherlands,Standard Queen Room,Solo traveller,1,10-2023,9.0,N/A,N/A,True
Very good,10-2023,Germany,Deluxe King Room,Couple,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Standard Queen Room,Solo traveller,5,10-2023,8.0,N/A,N/A,False
Superb,10-2023,Poland,Deluxe King Room,Couple,3,10-2023,9.0,N/A,N/A,False
Very good,09-2023,Netherlands,Deluxe King Room,Group,2,09-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Solo traveller,2,09-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe Studio,Solo traveller,2,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe Studio,Solo traveller,2,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Solo traveller,1,10-2023,8.0,N/A,N/A,False
Superb,10-2023,Germany,Deluxe King Room,Couple,2,10-2023,9.0,N/A,N/A,False
Very good,10-2023,Germany,Deluxe King Room,Family,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Deluxe Studio,Couple,1,10-2023,8.0,N/A,N/A,False
Very good,07-2023,Netherlands,Standard Queen Room,Family,2,07-2023,8.0,N/A,N/A,False
Good,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,7.0,N/A,N/A,False
Superb,10-2023,Germany,Standard Queen Room,Family,1,10-2023,9.0,N/A,N/A,False
Very good,10-2023,Romania,Deluxe King Room,Couple,1,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Germany,Standard Queen Room,Family,4,10-2023,8.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Solo traveller,3,10-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Group,2,08-2023,9.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,8.0,N/A,N/A,False
Superb,10-2023,Germany,Standard Queen Room,Solo traveller,1,10-2023,9.0,N/A,N/A,False
Very good,10-2023,Netherlands,Deluxe King Room,Couple,2,10-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,8.0,N/A,N/A,False
Very good,09-2023,Germany,Deluxe King Room,Couple,2,09-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Family,1,09-2023,8.0,N/A,N/A,False
Superb,09-2023,Slovakia,Standard Queen Room,Family,2,09-2023,9.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Family,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Deluxe King Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,09-2023,Germany,Deluxe King Room,Group,1,09-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Group,1,09-2023,8.0,N/A,N/A,False
Superb,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,9.0,N/A,N/A,False
Very good,08-2023,Belgium,Standard Queen Room,Solo traveller,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Slovakia,Deluxe King Room,Couple,2,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Turkmenistan,Standard Queen Room,Family,7,08-2023,9.0,N/A,N/A,False
Good,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,7.0,N/A,N/A,False
Superb,08-2023,Netherlands,Deluxe King Room,Couple,2,08-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,7.0,N/A,N/A,False
Very good,09-2023,Germany,Deluxe King Room,Group,1,09-2023,8.0,N/A,N/A,False
Good,07-2023,Netherlands,Standard Queen Room,Couple,2,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Family,2,08-2023,8.0,N/A,N/A,False
Modernes Hotel mit freundlichem Personal in bester Lage,08-2023,Germany,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,True
Very good,09-2023,Germany,Deluxe King Room,Group,1,09-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Group,2,08-2023,9.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Solo traveller,1,09-2023,8.0,N/A,N/A,False
Good,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,7.0,N/A,N/A,False
Very good,09-2023,Netherlands,Deluxe King Room,Couple,2,09-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,07-2023,Switzerland,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Superb,07-2023,Sweden,Standard Queen Room,Family,5,07-2023,9.0,N/A,N/A,False
Very good,08-2023,France,Standard Queen Room,Solo traveller,1,08-2023,8.0,N/A,N/A,False
Superb,09-2023,Germany,Deluxe King Room,Family,6,09-2023,9.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Family,1,09-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Deluxe Studio,Couple,2,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Solo traveller,2,08-2023,8.0,N/A,N/A,False
Good,09-2023,Germany,Standard Queen Room,Family,1,09-2023,7.0,N/A,N/A,False
Good,07-2023,Belgium,Standard Queen Room,Couple,1,07-2023,7.0,N/A,N/A,False
Very good,09-2023,Netherlands,Standard Queen Room,Family,2,09-2023,8.0,N/A,N/A,False
Very good,09-2023,Netherlands,Deluxe King Room,Group,2,09-2023,8.0,N/A,N/A,False
Superb,08-2023,Ukraine,Standard Queen Room,Family,4,08-2023,9.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Solo traveller,1,07-2023,8.0,N/A,N/A,False
Superb,08-2023,Italy,Deluxe King Room,Couple,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Solo traveller,5,08-2023,9.0,N/A,N/A,False
Good,08-2023,Cyprus,Standard Queen Room,Family,6,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Deluxe Studio,Family,5,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Spain,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,8.0,N/A,N/A,False
Good,08-2023,France,Standard Queen Room,Solo traveller,1,08-2023,7.0,N/A,N/A,False
Superb,08-2023,Spain,Standard Queen Room,Family,2,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Solo traveller,1,08-2023,9.0,N/A,N/A,False
Good,07-2023,Belgium,Standard Queen Room,Couple,2,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Romania,Standard Queen Room,Group,16,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Netherlands,Deluxe King Room,Family,3,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Group,2,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,False
Praktische kamer met alles erop en eraan zonder ‘franjes’ op een top plek tov de stad.,08-2023,Netherlands,Standard Queen Room,Couple,3,08-2023,9.0,N/A,N/A,True
Good,08-2023,Germany,Standard Queen Room,Group,2,08-2023,7.0,N/A,N/A,False
Veldig god service og helt supre folk i resepsjonen,08-2023,Norway,Standard Queen Room,Solo traveller,2,08-2023,8.0,N/A,N/A,True
Very good,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Group,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Czech Republic,Standard Queen Room,Family,3,08-2023,8.0,N/A,N/A,False
Superb,06-2023,Germany,Deluxe King Room,Family,2,06-2023,9.0,N/A,N/A,False
Very good,07-2023,Germany,Deluxe King Room,Solo traveller,1,07-2023,8.0,N/A,N/A,False
Very good,08-2023,Italy,Deluxe King Room,Family,2,08-2023,8.0,N/A,N/A,False
Posizione ottima per visitare a piedi la città.,08-2023,Italy,Standard Queen Room,Family,2,08-2023,8.0,N/A,N/A,True
Superb,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Deluxe Studio,Group,1,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Solo traveller,1,08-2023,8.0,N/A,N/A,False
Tolle Atmosphäre und Gronigen ist eine lebendige freundliche Stadt,08-2023,Germany,Standard Queen Room,Couple,4,08-2023,9.0,N/A,N/A,True
Very good,08-2023,Germany,Standard Queen Room,Group,3,08-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
Superb,08-2023,Italy,Standard Queen Room,Couple,5,08-2023,9.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Group,2,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Solo traveller,1,08-2023,8.0,N/A,N/A,False
Good,07-2023,Germany,Standard Queen Room,Group,1,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Solo traveller,2,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Family,2,08-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Standard Queen Room,Solo traveller,3,08-2023,7.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,8.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Deluxe King Room,Family,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Italy,Standard Queen Room,Family,3,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
In perfekter Lage hat das nette Personal & das tolle Frühstück einen schönen Aufenthalt ermöglicht.,08-2023,Germany,Standard Queen Room,Couple,3,08-2023,8.0,N/A,N/A,True
Very good,06-2023,Germany,Standard Queen Room,Group,1,06-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Group,2,07-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Luxembourg,Standard Queen Room,Couple,3,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,8.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Family,2,08-2023,7.0,N/A,N/A,False
Superb,07-2023,Netherlands,Deluxe King Room,Couple,2,07-2023,9.0,N/A,N/A,False
Very good,08-2023,Japan,Standard Queen Room,Solo traveller,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Romania,Standard Queen Room,Family,4,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Brazil,Standard Queen Room,Solo traveller,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Good,07-2023,Italy,Standard Queen Room,Couple,3,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Group,3,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Italy,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Solo traveller,1,08-2023,7.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Group,2,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Group,1,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Italy,Standard Queen Room,Couple,2,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Denmark,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,8.0,N/A,N/A,False
Super,08-2023,Germany,Deluxe King Room,Family,1,08-2023,9.0,N/A,N/A,True
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Good,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,8.0,N/A,N/A,False
Very good,06-2023,Austria,Standard Queen Room,Solo traveller,5,06-2023,8.0,N/A,N/A,False
Superb,08-2023,China,Standard Queen Room,Couple,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Sweden,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Very good,07-2023,Czech Republic,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Group,2,07-2023,8.0,N/A,N/A,False
Good,08-2023,Italy,Standard Queen Room,Couple,3,08-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Family,2,08-2023,8.0,N/A,N/A,False
Good,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,7.0,N/A,N/A,False
Superb,08-2023,France,Deluxe Studio,Family,2,08-2023,9.0,N/A,N/A,False
Good,07-2023,Germany,Standard Queen Room,Couple,3,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Solo traveller,2,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,9.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,7.0,N/A,N/A,False
Very good,07-2023,N/A,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
Good,07-2023,France,Standard Queen Room,Solo traveller,2,07-2023,7.0,N/A,N/A,False
Very good,07-2023,Belgium,Standard Queen Room,Group,1,07-2023,8.0,N/A,N/A,False
Superb,08-2023,France,Standard Queen Room,Family,1,08-2023,9.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Couple,3,08-2023,9.0,N/A,N/A,False
Very good,07-2023,Germany,Deluxe King Room,Couple,1,07-2023,8.0,N/A,N/A,False
Good,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,7.0,N/A,N/A,False
Very good,08-2023,France,Deluxe King Room,Family,2,08-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Superb,07-2023,Turkey,Standard Queen Room,Solo traveller,1,07-2023,9.0,N/A,N/A,False
Good,07-2023,Germany,Deluxe King Room,Family,1,07-2023,7.0,N/A,N/A,False
Very good,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Denmark,Deluxe King Room,Family,2,08-2023,9.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Family,1,08-2023,8.0,N/A,N/A,False
Superb,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,9.0,N/A,N/A,False
Good,07-2023,Netherlands,Standard Queen Room,Group,2,07-2023,7.0,N/A,N/A,False
Geweldig,07-2023,Netherlands,Deluxe King Room,Couple,2,07-2023,9.0,N/A,N/A,True
Superb,07-2023,Portugal,Standard Queen Room,Couple,1,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Netherlands,Standard Queen Room,Couple,2,07-2023,8.0,N/A,N/A,False
Superb,07-2023,Germany,Standard Queen Room,Family,3,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Group,1,07-2023,8.0,N/A,N/A,False
Good,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,7.0,N/A,N/A,False
Gutes Stadthotel in zentraler Lage,07-2023,Germany,Standard Queen Room,Group,1,07-2023,7.0,N/A,N/A,True
Superb,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Netherlands,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
Superb,07-2023,Netherlands,Deluxe King Room,Couple,1,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Italy,Standard Queen Room,Couple,2,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Netherlands,Deluxe Studio,Couple,4,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Belgium,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Family,2,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Netherlands,Deluxe King Room,Family,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Superb,07-2023,Netherlands,Deluxe King Room,Couple,2,07-2023,9.0,N/A,N/A,False
Superb,07-2023,Romania,Standard Queen Room,Family,3,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Germany,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
